_date_,xgap_cbo,rff,pcom,pigdp
1947-01-01,NA,NA,117.2,NA
1947-04-01,NA,NA,112.96666666666666,5.4170464394372784
1947-07-01,NA,NA,112.23333333333334,6.2517735871503888
1947-10-01,NA,NA,126.46666666666666,8.141019192567888
1948-01-01,NA,NA,124.16666666666668,4.5835072668049648
1948-04-01,NA,NA,120.63333333333334,4.698434756365444
1948-07-01,NA,NA,121.06666666666666,6.9129764594991984
1948-10-01,NA,NA,119.56666666666668,-0.163994918454868
1949-01-01,0.131127141,NA,109.56666666666666,-1.314385475785684
1949-04-01,-1.502399082,NA,89.366666666666672,-2.4761748011815848
1949-07-01,-1.811747242,NA,92.366666666666656,-2.8916989953652112
1949-10-01,-3.857491389,NA,92.566666666666656,-0.100087577151875
1950-01-01,-1.3967985999999998,NA,93.399999999999984,-1.136079620941643
1950-04-01,0.28005176599999996,NA,98,1.669590870423221
1950-07-01,2.795620729,NA,127.73333333333334,8.2449946901368416
1950-10-01,3.357052928,NA,156.96666666666666,6.3472834429015632
1951-01-01,3.353954882,NA,172.23333333333334,13.30243830260969
1951-04-01,3.745578921,NA,162.86666666666664,2.2931578145040992
1951-07-01,4.43844855,NA,135.23333333333334,1.295697569780963
1951-10-01,3.205195379,NA,134.1,5.2324326143411424
1952-01-01,2.861280113,NA,124,0.51646230544797304
1952-04-01,1.621261924,NA,112.90000000000002,1.515153326774765
1952-07-01,1.027364225,NA,108.7,3.013196923017958
1952-10-01,3.087995011,NA,105.4,1.408399402377647
1953-01-01,3.87600606,NA,102.09999999999998,0.38868336578552496
1953-04-01,3.639111593,NA,97.16666666666664,0.95515305440745408
1953-07-01,2.143837704,NA,94.866666666666672,1.487875543828032
1953-10-01,-0.194787118,NA,91.966666666666688,1.186328444289053
1954-01-01,-1.3977804760000002,NA,91.633333333333328,1.684461873905896
1954-04-01,-1.939740828,NA,96.600000000000016,0.73656706998743696
1954-07-01,-1.443279716,1.002222222222222,96.5,-0.353382928086532
1954-10-01,-0.14630663899999998,1,99.266666666666672,0.52995738651588896
1955-01-01,2.079415073,1.311290322580644,102.13333333333332,1.49774412351924
1955-04-01,3.07089869,1.482539682539681,102.56666666666666,2.221578350186704
1955-07-01,3.80666655,1.9343749999999992,108.2,2.7307826302715548
1955-10-01,3.750274281,2.3542372881355932,110.86666666666668,2.6547493204947868
1956-01-01,2.667218206,2.474590163934426,111.1,3.9208985642369848
1956-04-01,2.848085475,2.6828125,107.63333333333332,3.7417890317149368
1956-07-01,2.082341146,2.7839682539682544,107.5,4.405361774493244
1956-10-01,3.045413958,2.8964999999999992,110.96666666666666,2.4481923691361368
1957-01-01,2.925243738,2.9050819672131148,106.63333333333332,4.550361043803264
1957-04-01,1.867723874,3,103.9,2.8145076326838492
1957-07-01,1.99100267,3.21828125,101.9,3.0651490982277712
1957-10-01,0.049289588,3.245967741935484,94.966666666666688,2.343993505824926
1958-01-01,-3.392066581,1.8169354838709672,92.666666666666672,3.3439418957504688
1958-04-01,-3.605131999,0.937936507936508,90.566666666666656,1.701338379345962
1958-07-01,-2.232016002,1.2628124999999998,95.400000000000016,0.953832339105176
1958-10-01,-0.861300162,2.1049180327868848,100.06666666666668,0.502496016363274
1959-01-01,0.093740448,2.5496721311475408,99.666666666666672,1.872181142799256
1959-04-01,1.338256055,3.042307692307692,102.30000000000002,1.155842401418994
1959-07-01,0.344271062,3.5576923076923072,103.6,1.701406223222612
1959-10-01,-0.432903381,3.987903225806452,105.1,1.538112495812172
1960-01-01,0.72820572,3.8991935483870968,103.73333333333334,0.75385887463834704
1960-04-01,-0.839116995,3.63671875,103.13333333333334,1.425841621249369
1960-07-01,-1.343261787,2.8671875,101.23333333333334,1.730095334591297
1960-10-01,-3.534538324,2.2333333333333328,97.933333333333344,1.748299479439908
1961-01-01,-3.782471274,1.95047619047619,99.500000000000016,0.461508928832366
1961-04-01,-2.995462166,1.703125,102.76666666666666,0.79357486590563296
1961-07-01,-2.009092978,1.742063492063492,102.1,0.84304677542732496
1961-10-01,-0.993337156,2.3548387096774192,100.33333333333332,0.91766545474278912
1962-01-01,-0.203695686,2.423387096774194,100.9,1.9810822132283688
1962-04-01,-0.346673108,2.640625,96.766666666666688,1.087954116415801
1962-07-01,-0.219349983,2.8452380952380948,93.833333333333312,0.95899099562597504
1962-10-01,-1.001657046,2.922166666666666,95.300000000000016,0.95669733420731296
1963-01-01,-1.018244226,2.95327868852459,94.599999999999984,1.956607438232538
1963-04-01,-0.984370858,2.952539682539682,94.133333333333328,0.35017510990798
1963-07-01,0.120190532,3.30125,93.766666666666672,0.42480091451597704
1963-10-01,-0.294980163,3.430491803278688,96.7,2.6138189283987148
1964-01-01,0.734202388,3.452539682539682,98.233333333333312,1.510697396714455
1964-04-01,0.72865503,3.4830769230769228,101.16666666666668,1.160100779238959
1964-07-01,1.184165543,3.4384615384615392,105.06666666666666,1.9669349364143328
1964-10-01,0.391772712,3.5434426229508192,112.13333333333332,1.688747269286317
1965-01-01,1.688204524,3.9536065573770488,111.06333333333334,1.754602545353734
1965-04-01,1.877226043,4.0621874999999992,115.87666666666666,1.867971978923322
1965-07-01,3.015191425,4.0507812499999976,114.25166666666666,1.8111051496617848
1965-10-01,4.260851901,4.1422222222222216,115.46499999999998,2.617606075360612
1966-01-01,5.655840448,4.5209523809523792,121.67,2.4340845902182552
1966-04-01,4.889944702,4.8746874999999992,118.85,3.600000615760912
1966-07-01,4.651269511,5.3178124999999984,112.65166666666666,3.497777503867994
